1|90|99|15,8,29,34 |99|29,17,38,34|99|29,2,40,28|99|2,8,15,38|8,10,18,37|10,36,37,40|10,14,35,40|1,35,19,39|28,27,18,40|5,34,31,35|99|6,29,4,38|19,1,32|35,12,34,31|99|12,36,18,31|6,2,34,19|5,35,3,31|10,24,35|10,35,20,28|3,26,18,31|1,3,11,27|28,27,35,26|28,35,26,18|22,21,18,27|22,35,31,39|27,28,1,36|35,3,2,24|2,27,28,11|29,5,15,8|26,30,36,34|28,29,26,32|26,35,18,19|35,3,24,37||||||||||||||||||||||||||||||||||||www.insigna-group.com
2|99|90|99|10,1,29,35|99|35,30,13,2|99|5,35,14,2|99|8,10,19,35|13,29,10,18|13,10,29,14|26,39,1,40|28,2,10,27|99|2,27,19,6|28,19,32,22|19,32,35|99|18,19,28,1|15,19,18,22|18,19,28,15|5,8,13,30|10,15,35|10,20,35,26|19,6,18,26|10,28,8,3|18,26,28|10,1,35,17|2,19,22,37|35,22,1,39|28,1,9|6,13,1,32|2,27,28,11|19,15,29|1,10,26,39|25,28,17,15|2,26,35|1,28,15,35||||||||||||||||||||||||||||||||||||
3|8,15,29,34|99|90|99|15,17,4|99|7,17,4,35|99|13,4,8|17,10,4|1,8,35|1,8,10,29|1,8,15,34|8,35,29,34|19|99|10,15,19|32|8,35,24|99|1,35|7,2,35,39|4,29,23,10|1,24|15,2,29|29,35|10,14,29,40|28,32,4|10,28,29,37|1,15,17,24|17,15|1,29,17|15,29,35,4|1,28,10|14,15,1,16|1,19,26,24|35,1,26,24|17,24,26,16|14,4,28,29||||||||||||||||||||||||||||||||||||
4|99|35,28,40,29  |99|90|99|17,7,10,40|99|35,8,2,14|99|28,10|1,14,35|13,14,15,7|39,37,35|15,14,28,26|99|1,10,35|3,35,38,18|3,25|99|99|12,8|6,28|10,28,24,35|24,26|30,29,14|99|15,29,28|32,28,3|2,32,10|1,18|99|15,17,27|2,25|3|1,35|1,26|26|99|30,14,7,26||||||||||||||||||||||||||||||||||||This Excel workbook © 2003 G Tennant Mulbury Consulting Ltd
5|2,17,29,4|99|14,15,18,4|99|90|99|7,14,17,4|99|29,30,4,34|19,30,35,2|10,15,36,28|5,34,29,4|11,2,13,39|3,15,40,14|6,3|99|2,15,16|15,32,19,13|19,32|99|19,10,32,18|15,17,30,26|10,35,2,39|30,26|26,4|29,30,6,13|29,9|26,28,32,3|2,32|22,33,28,1|17,2,18,39|13,1,26,24|15,17,13,16|15,13,10,1|15,30|14,1,13|2,36,26,18|14,30,28,23|10,26,34,2||||||||||||||||||||||||||||||||||||www.sixsigmatriz.com
6|99|30,2,14,18    |99|26,7,9,39|99|90|99|99|99|1,18,35,36|10,15,36,37|99|2,38|40|99|2,10,19,30|35,39,38|99|99|99|17,32|17,7,30|10,14,18,39|30,16|10,35,4,18|2,18,40,4|32,35,40,4|26,28,32,3|2,29,18,36|27,2,39,35|22,1,40|40,16|16,4|16|15,16|1,18,36|2,35,30,18|23|10,15,17,7||||||||||||||||||||||||||||||||||||
7|2,26,29,40|99|1,7,4,35|99|1,7,4,17|99|90|99|29,4,38,34|15,35,36,37|6,35,36,37|1,15,29,4|28,10,1,39|9,14,15,7|6,35,4|99|34,39,10,18|2,13,10|35|99|35,6,13,18|7,15,13,16|36,39,34,10|2,22|2,6,34,10|29,30,7|14,1,40,11|25,26,28|25,28,2,16|22,21,27,35|17,2,40,1|29,1,40|15,13,30,12|10|15,29|26,1|29,26,4|35,34,16,24|10,6,2,34||||||||||||||||||||||||||||||||||||
8|99|35,10,19,14|19,14|35,8,2,14|99|99|99|90|99|2,18,37|24,35|7,2,35|34,28,35,40|9,14,17,15|99|35,34,38|35,6,4|99|99|99|30,6|99|10,39,35,34|99|35,16,32,18|35,3|2,35,16|99|35,10,25|34,39,19,27|30,18,35,4|35|99|1|99|1,31|2,17,26|99|35,37,10,2||||||||||||||||||||||||||||||||||||
9|2,28,13,38|99|13,14,8|99|29,30,34|99|7,29,34|99|90|13,28,15,19|6,18,38,40|35,15,18,34|28,33,1,18|8,3,26,14|3,19,35,5|99|28,30,36,2|10,13,19|8,15,35,38|99|19,35,38,2|14,20,19,35|10,13,28,38|13,26|99|10,19,29,38|11,35,27,28|28,32,1,24|10,28,32,25|1,28,35,23|2,24,35,21|35,13,8,1|32,28,13,12|34,2,28,27|15,10,26|10,28,4,34|3,34,27,16|10,18|99||||||||||||||||||||||||||||||||||||
10|8,1,37,18|18,13,1,28|17,19,9,36|28,10|19,10,15|1,18,36,37|15,9,12,37|2,36,18,37|13,28,15,12|90|18,21,11|10,35,40,34|35,10,21|35,10,14,27|19,2|99|35,10,21|99|19,17,10|1,16,36,37|19,35,18,37|14,15|8,35,40,5|99|10,37,36|14,29,18,36|3,35,13,21|35,10,23,24|28,29,37,36|1,35,40,18|13,3,36,24|15,37,18,1|1,28,3,25|15,1,11|15,17,18,20|26,35,10,18|36,37,10,19|2,35|3,28,35,37||||||||||||||||||||||||||||||||||||
